player_name,salary
Michael Carter-Williams,"$85,458  "
Isaiah Canaan,"$85,458  "
Isaiah Canaan,"$85,458  "
Corey Brewer,"$85,458  "
Corey Brewer,"$85,458  "
Jodie Meeks,"$85,458  "
Eric Moreland,"$85,458  "
JaKarr Sampson,"$85,458  "
Quincy Acy,"$85,458  "
Quincy Acy,"$85,458  "
Bruno Caboclo,"$85,458  "
Bruno Caboclo,"$85,458  "
Kobi Simmons,"$76,236  "
James Nunnally,"$76,236  "
Charles Cooke,"$76,236  "
Andre Ingram,"$76,236  "
Scott Machado,"$76,236  "
Michael Carter-Williams,"$59,820  "
Donatas Motiejunas,"$59,820  "
Greg Monroe,"$59,820  "
Jermerrio Jones,"$52,108  "
Tyler Zeller,"$51,275  "
Dusty Hannahs,"$47,371  "
Chris Chiozza,"$47,371  "
Isaac Humphries,"$47,371  "
B.J. Johnson,"$47,371  "
B.J. Johnson,"$47,371  "
Jordan Sibert,"$47,371  "
Emanuel Terry,"$47,371  "
Richard Solomon,"$47,371  "
Cody Demps,"$47,371  "
B.J. Johnson,"$47,371  "
Stephan Hicks,"$47,371  "
Mitch Creek,"$47,371  "
Mitch Creek,"$47,371  "
Justin Bibbs,"$47,371  "
Justin Bibbs,"$47,371  "
Mitch Creek,"$47,371  "
Cam Reynolds,"$47,371  "
Ray Spalding,"$47,371  "
Emanuel Terry,"$47,371  "
Billy Garrett,"$42,634  "
Deyonta Davis,"$25,637  "
Michael Frazier,"$23,685  "
Jordan McRae,"$17,092  "
Jonathan Gibson,"$17,092  "
Eric Moreland,"$17,092  "
Yante Maten,"$14,211  "
Tarik Phillip,"$9,474  "
Duncan Robinson,"$9,474  "
Mitch Creek,"$9,474  "
Kendrick Nunn,"$4,737  "
Theo Pinson,"$4,737  "
